,City,Rating,Votes,Price Range,Online Delivery,Table Booking,Average Cost for Two
20828,New Delhi,4.1,1821,4,Yes,Yes,2000
20829,New Delhi,4.4,1636,3,No,No,1300
20830,New Delhi,4.3,3530,2,No,No,800
20831,New Delhi,4.2,1526,2,No,Yes,700
20832,New Delhi,4.1,501,4,No,Yes,2000
20833,New Delhi,3.9,303,2,Yes,Yes,800
20834,New Delhi,3.7,984,4,Yes,Yes,2500
20835,New Delhi,4.4,609,4,No,Yes,2500
20836,Gurgaon,4.4,146,3,No,Yes,1200
20837,New Delhi,3.9,2589,4,No,No,2200
20838,New Delhi,3.9,2639,3,Yes,Yes,1100
20839,New Delhi,4.4,2826,4,No,No,6500
20840,New Delhi,4.1,826,3,Yes,Yes,1400
20841,New Delhi,4.1,1653,3,No,No,1000
20842,Gurgaon,3.8,1317,3,No,Yes,1500
20843,New Delhi,4.1,1384,2,Yes,Yes,700
20844,New Delhi,4.4,2777,3,No,No,1500
20845,New Delhi,4.3,3986,2,No,No,600
20846,New Delhi,4.1,3164,3,No,No,1600
20847,New Delhi,4.1,2514,3,No,No,1500
20848,New Delhi,4.1,1821,4,Yes,Yes,2000
20849,New Delhi,4.4,1636,3,No,No,1300
20850,New Delhi,4.3,3530,2,No,No,800
20851,New Delhi,4.2,1526,2,No,Yes,700
20852,New Delhi,4.1,501,4,No,Yes,2000
20853,New Delhi,3.9,303,2,Yes,Yes,800
20854,New Delhi,3.7,984,4,Yes,Yes,2500
20855,New Delhi,4.4,609,4,No,Yes,2500
20856,Gurgaon,4.4,146,3,No,Yes,1200
20857,New Delhi,3.9,2589,4,No,No,2200
20858,New Delhi,3.9,2639,3,Yes,Yes,1100
20859,New Delhi,4.4,2826,4,No,No,6500
20860,New Delhi,4.1,826,3,Yes,Yes,1400
20861,New Delhi,4.1,1653,3,No,No,1000
20862,Gurgaon,3.8,1317,3,No,Yes,1500
20863,New Delhi,4.1,1384,2,Yes,Yes,700
20864,New Delhi,4.4,2777,3,No,No,1500
20865,New Delhi,4.3,3986,2,No,No,600
20866,New Delhi,4.1,3164,3,No,No,1600
20867,New Delhi,4.1,2514,3,No,No,1500
20868,New Delhi,3.2,40,1,No,No,350
20869,New Delhi,3.6,29,2,No,No,800
20870,New Delhi,3.4,38,1,No,No,300
20871,New Delhi,3.6,44,2,No,No,700
20872,New Delhi,3.5,39,1,No,No,300
20873,New Delhi,3.3,29,1,No,No,300
20874,New Delhi,3.1,18,3,Yes,No,1000
20875,New Delhi,3.5,17,1,No,No,450
20876,New Delhi,2.9,10,1,No,No,350
20877,New Delhi,2.9,4,1,No,No,400
20878,New Delhi,3.1,7,1,No,No,350
20879,New Delhi,0,3,3,No,Yes,1000
20880,New Delhi,0,2,1,No,No,350
20881,New Delhi,0,2,1,No,No,450
20882,New Delhi,0,0,1,No,No,400
20883,New Delhi,0,2,2,No,No,800
20884,New Delhi,0,2,2,No,No,500
20885,New Delhi,0,2,2,No,No,600
20886,New Delhi,0,1,1,No,No,200
20887,New Delhi,0,1,1,No,No,260
20888,New Delhi,0,0,1,Yes,No,200
20889,New Delhi,0,0,1,No,No,100
20890,New Delhi,0,0,2,No,No,500
20891,New Delhi,0,0,1,No,No,200
20892,New Delhi,0,0,1,No,No,300
20893,New Delhi,0,0,2,No,No,500
20894,New Delhi,0,0,1,No,No,300
20895,New Delhi,0,0,1,No,No,300
20896,New Delhi,0,0,1,No,No,450
20897,New Delhi,0,0,1,No,No,250
20898,New Delhi,0,0,2,No,No,500
20899,New Delhi,4.3,3002,3,No,Yes,1600
20900,New Delhi,4.0,1700,3,Yes,Yes,1800
20901,New Delhi,4.4,1521,3,No,No,1500
20902,New Delhi,4.4,1293,3,Yes,Yes,1400
20903,New Delhi,4.2,756,4,No,Yes,2500
20904,New Delhi,4.0,752,4,No,Yes,3500
20905,New Delhi,3.8,697,3,Yes,No,1000
20906,Phillip Island,3.7,351,2,No,No,20
20907,Consort,3.0,6,2,No,No,25
20908,Santa Rosa,3.6,29,3,No,No,800
20909,Ahmedabad,4.4,317,2,Yes,No,600
20910,Amritsar,4.1,878,2,No,No,500
20911,Penola,3.4,19,2,No,No,20
20912,Bandung,4.2,22,3,No,No,150000
20913,Beechworth,4.6,237,2,No,No,20
20914,Chatham-Kent,3.7,176,2,No,No,25
20915,Paynesville,2.6,16,4,No,No,120
20916,Miller,3.4,11,1,No,No,0
20917,East Ballina,4.1,56,2,No,No,20
20918,Lincoln,4.5,799,2,No,No,25
20919,Montville,2.4,193,3,No,No,30
20920,Flaxton,3.5,37,3,No,No,30
20921,Lakeview,3.6,41,1,No,No,10
20922,Santa Rosa,4.0,72,3,No,No,850
20923,Balingup,3.2,21,2,No,No,20
20924,Pune,4.8,2510,3,No,No,1000
20925,Palm Cove,4.4,381,3,No,No,30
20926,New Delhi,4.1,1821,4,Yes,Yes,2000
20927,New Delhi,4.4,1636,3,No,No,1300
20928,New Delhi,4.3,3530,2,No,No,800
20929,New Delhi,4.2,1526,2,No,Yes,700
20930,New Delhi,4.1,501,4,No,Yes,2000
20931,New Delhi,3.9,303,2,Yes,Yes,800
20932,New Delhi,3.7,984,4,Yes,Yes,2500
20933,New Delhi,4.4,609,4,No,Yes,2500
20934,Gurgaon,4.4,146,3,No,Yes,1200
20935,New Delhi,3.9,2589,4,No,No,2200
